variable,importance
academic_performance,0.1530501746353587
student_id,0.12908521576105858
daily_social_media_hours,0.12143682066243691
sleep_hours,0.10837251230961334
screen_time_before_sleep,0.092718360074829
physical_activity,0.0923713298815721
addiction_level,0.06229915313730064
stress_level,0.06112699359605966
age,0.05676175945028858
social_interaction_level_high,0.01944330222370995
platform_usage_Instagram,0.01674483108993297
social_interaction_level_medium,0.0154474098654883
social_interaction_level_low,0.015445640321252965
gender_female,0.014757214951107846
platform_usage_Both,0.014275307144866776
platform_usage_TikTok,0.013469879229365713
gender_male,0.01319409566575819
