student_id,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,stress_level,anxiety_level,addiction_level,depression_label
1,7.9,7.4,2.9,3.01,1.5,2,2,1,0
2,1.9,8.0,2.9,3.22,0.8,8,1,10,0
3,1.3,7.6,0.5,3.92,0.0,2,4,2,0
4,7.4,6.9,1.6,3.48,0.8,1,7,9,0
5,4.7,4.9,3.0,2.37,1.4,3,5,2,0
6,7.4,4.4,2.4,2.63,0.6,3,5,7,0
7,2.5,6.4,2.4,2.63,0.7,2,2,5,0
8,4.0,4.2,0.5,2.4,1.3,6,10,5,0
9,3.3,5.0,2.1,2.04,0.9,1,10,9,0
10,1.9,4.9,1.5,3.77,1.1,1,1,4,0
11,7.2,5.8,2.9,3.16,1.2,5,8,9,0
12,4.9,4.7,2.5,3.92,1.2,1,10,8,0
13,6.2,7.2,2.6,2.02,1.7,5,7,6,0
14,6.8,5.7,1.1,3.29,1.3,1,10,10,0
15,5.7,5.9,0.8,3.5,0.7,1,9,1,0
16,3.6,5.3,0.6,2.99,0.3,4,10,2,0
17,1.5,4.2,1.4,2.59,0.5,4,5,8,0
18,3.1,6.1,0.8,2.11,1.9,10,7,10,0
19,6.7,6.8,1.9,3.08,1.4,10,9,1,0
20,1.2,7.6,1.0,3.85,0.8,8,4,6,0
21,3.4,4.6,2.1,2.24,0.4,4,1,3,0
22,4.1,7.4,2.4,2.38,1.5,8,4,9,0
23,5.3,4.9,1.2,3.69,1.2,5,4,5,0
24,2.3,7.6,0.5,2.96,1.7,9,8,7,0
25,2.4,6.7,1.9,2.53,0.4,8,8,2,0
26,1.5,7.2,2.5,2.15,1.3,4,6,2,0
27,5.7,8.7,0.6,2.64,0.1,8,9,4,0
28,2.0,7.1,0.9,3.26,1.6,7,5,9,0
29,2.5,5.6,2.9,2.24,0.5,3,9,5,0
30,3.4,7.8,2.8,3.83,1.8,6,6,4,0
31,6.6,5.7,2.5,2.67,1.1,2,1,10,0
32,1.6,8.7,2.5,3.69,0.4,8,2,9,0
33,2.7,4.2,2.4,3.05,0.2,1,8,4,0
34,4.1,8.0,3.0,2.31,0.8,8,4,1,0
35,6.6,7.3,1.6,3.27,0.1,10,2,1,0
36,5.0,4.9,2.1,2.01,1.0,9,4,9,0
37,4.6,5.5,2.5,3.96,0.8,3,10,7,0
38,4.8,4.4,1.3,2.02,0.5,5,10,6,0
39,1.3,8.0,2.0,2.84,1.8,1,7,8,0
40,6.3,4.0,1.0,2.43,1.2,1,10,9,0
41,6.4,5.7,0.9,2.06,1.8,10,4,2,0
42,1.6,8.6,2.4,3.81,0.4,10,4,1,0
43,7.3,7.7,1.4,3.42,0.3,6,1,8,0
44,4.0,8.8,1.3,3.59,1.9,10,6,10,0
45,5.2,4.1,2.1,3.07,0.2,9,3,8,0
46,4.5,4.8,0.9,2.22,0.8,1,4,10,0
47,6.8,8.6,1.1,2.36,1.6,1,10,10,0
48,3.5,5.1,1.1,2.27,1.8,2,5,6,0
49,2.3,6.3,3.0,3.24,1.9,4,4,9,0
50,1.2,8.5,1.8,3.65,1.8,5,10,10,0
51,6.2,7.1,2.2,3.43,0.2,5,2,2,0
52,4.5,4.1,1.9,3.42,0.1,6,7,8,0
53,2.9,4.5,2.5,3.16,1.3,3,7,8,0
54,5.8,8.5,2.3,3.3,1.9,1,1,5,0
