student_id,age,gender,platform_usage,social_interaction_level
1,14,male,Instagram,low
2,19,female,TikTok,high
3,17,female,Instagram,high
4,15,male,TikTok,medium
5,15,female,Both,medium
6,19,female,Both,high
7,18,female,Instagram,low
8,16,male,Both,low
9,19,female,TikTok,high
10,15,male,TikTok,high
11,16,male,Both,medium
12,13,male,Instagram,low
13,16,male,Both,medium
14,17,female,TikTok,medium
15,15,male,TikTok,low
16,14,female,Both,high
17,13,male,Both,high
18,16,male,Both,high
19,16,female,Both,high
20,14,female,Instagram,high
21,16,male,TikTok,high
22,18,male,Both,medium
23,18,male,Instagram,low
24,18,female,TikTok,medium
25,18,female,Both,high
26,13,female,Both,medium
27,14,female,Both,low
28,19,male,TikTok,high
29,14,male,TikTok,low
30,16,female,TikTok,medium
31,13,male,TikTok,low
32,13,female,Instagram,high
33,16,male,Instagram,high
34,14,male,TikTok,low
35,13,female,TikTok,medium
36,17,female,Both,low
37,19,female,Instagram,high
38,17,female,Instagram,low
39,17,female,TikTok,high
40,17,female,Instagram,high
41,14,male,Instagram,high
42,19,male,Instagram,low
43,14,female,Instagram,medium
44,15,male,Both,medium
45,14,male,Both,medium
46,14,female,TikTok,low
47,18,male,TikTok,high
48,13,female,Instagram,medium
49,16,male,TikTok,medium
50,14,male,Instagram,high
51,13,male,Both,medium
52,18,male,TikTok,medium
53,18,male,Instagram,low
54,13,female,TikTok,high
55,18,male,Instagram,low
56,15,female,Instagram,low
57,18,male,TikTok,medium
58,16,male,TikTok,medium
59,13,male,Both,high
60,17,female,Instagram,medium
61,18,male,TikTok,high
62,15,female,Instagram,medium
63,13,male,Both,medium
64,17,male,Both,high
65,19,female,TikTok,low
66,17,male,Instagram,high
67,13,male,TikTok,low
68,17,male,Both,medium
69,14,female,Both,low
70,15,male,Both,high
71,14,male,Both,medium
72,16,female,TikTok,low
73,16,female,Instagram,low
74,14,male,Instagram,low
75,14,male,Both,low
76,17,female,Instagram,medium
77,13,male,TikTok,high
78,13,male,TikTok,low
79,15,male,Both,high
80,18,male,Both,medium
81,18,female,Instagram,high
82,19,female,TikTok,high
83,14,male,Both,medium
84,13,male,Instagram,high
85,16,female,Both,high
86,17,female,Both,high
87,18,male,Instagram,low
88,17,female,Both,medium
89,17,female,Instagram,medium
90,18,male,Instagram,medium
91,17,female,Instagram,medium
92,18,female,Instagram,medium
93,18,male,TikTok,low
94,17,female,TikTok,medium
95,13,female,Instagram,medium
96,15,female,Instagram,medium
97,13,male,TikTok,low
98,13,female,TikTok,high
99,18,male,TikTok,high
100,16,male,Instagram,medium
101,13,male,Both,medium
102,18,female,Instagram,low
103,13,male,Instagram,medium
104,18,male,Instagram,low
105,15,male,TikTok,medium
106,13,female,Both,low
107,18,male,Both,medium
108,13,male,TikTok,medium
109,14,male,TikTok,medium
110,17,male,TikTok,medium
111,16,male,Both,high
112,17,female,Both,medium
113,13,male,Both,high
114,15,male,TikTok,low
115,13,male,TikTok,high
116,17,female,Instagram,medium
117,15,male,Both,high
118,19,female,Both,high
119,17,male,Instagram,medium
120,17,female,TikTok,medium
121,13,male,TikTok,medium
122,15,female,Instagram,medium
123,17,female,Both,medium
124,18,male,TikTok,low
125,16,male,Both,medium
126,19,male,Both,high
127,16,male,Instagram,medium
128,13,male,TikTok,low
129,18,female,Both,low
130,13,female,Instagram,medium
131,13,female,Both,low
132,15,male,TikTok,medium
133,17,male,Instagram,high
134,18,male,Instagram,medium
135,16,female,TikTok,medium
136,13,male,TikTok,low
137,18,male,Instagram,low
138,17,male,TikTok,low
139,14,female,Instagram,medium
140,15,female,TikTok,low
141,13,female,TikTok,low
142,19,male,Instagram,medium
143,13,male,Instagram,low
144,18,female,TikTok,high
145,18,male,TikTok,high
146,14,male,Instagram,medium
147,14,male,TikTok,low
148,16,male,TikTok,medium
149,15,female,TikTok,high
150,14,male,Both,high
